name,comb
MODBEALE,N/2=1000
MODBEALE,N/2=10000
MODBEALE,ALPHA=50.0
DEGENQPC,N=10
DEGENQPC,N=20
DEGENQPC,N=50
DEGENQPC,N=100
CHANDHEQ,N=10
CHANDHEQ,N=50
CHANDHEQ,N=100
CHANDHEQ,C=1.0
DIXMAANA,M=5
DIXMAANA,M=30
DIXMAANA,M=100
DIXMAANA,M=500
DIXMAANA,M=1000
DIXMAANA,M=3000
EXPLIN,N=12
EXPLIN,M=6
EXPLIN,N=120
EXPLIN,M=10
EXPLIN,N=1200
EXPLIN,M=100
ARTIF,N=10
ARTIF,N=50
ARTIF,N=100
ARTIF,N=500
ARTIF,N=1000
ARTIF,N=5000
NONDIA,N=10
NONDIA,N=20
NONDIA,N=30
NONDIA,N=50
NONDIA,N=90
NONDIA,N=100
NONDIA,N=500
NONDIA,N=1000
NONDIA,N=5000
NONDIA,N=10000
LUKVLI7,N=100
LUKVLI7,N=1000
LUKVLI7,N=10000
LUKVLI7,N=100000
LCH,N=10
LCH,N=50
LCH,N=100
LCH,N=200
LCH,N=1000
RAYBENDL,NKNOTS=4
RAYBENDL,NKNOTS=11
RAYBENDL,NKNOTS=21
RAYBENDL,NKNOTS=32
RAYBENDL,NKNOTS=64
RAYBENDL,NKNOTS=512
RAYBENDL,NKNOTS=1024
LUKVLE4,N=100
LUKVLE4,N=1000
LUKVLE4,N=10000
LUKVLE4,N=100000
NCVXQP3,N=10
NCVXQP3,N=50
NCVXQP3,N=100
NCVXQP3,N=1000
NCVXQP3,N=10000
NCVXQP3,N=100000
TORSIOND,Q=2
TORSIOND,Q=5
TORSIOND,Q=11
TORSIOND,Q=16
TORSIOND,Q=37
TORSIOND,Q=50
TORSIOND,Q=61
TORSIOND,C=10.0
YAO,P=20
YAO,P=200
YAO,P=2000
YAO,k=2
YAO,k=3
YAO,k=4
TORSION2,Q=2
TORSION2,Q=5
TORSION2,Q=11
TORSION2,Q=16
TORSION2,Q=37
TORSION2,Q=50
TORSION2,Q=61
TORSION2,C=5.0
TORSIONF,Q=2
TORSIONF,Q=5
TORSIONF,Q=11
TORSIONF,Q=16
TORSIONF,Q=37
TORSIONF,Q=50
TORSIONF,Q=61
TORSIONF,C=20.0
AUG2D,NX=3
AUG2D,NX=10
AUG2D,NX=40
AUG2D,NX=100
AUG2D,NX=200
AUG2D,NY=3
AUG2D,NY=10
AUG2D,NY=40
AUG2D,NY=100
AUG2D,NY=200
NCVXQP1,N=10
NCVXQP1,N=50
NCVXQP1,N=100
NCVXQP1,N=1000
NCVXQP1,N=10000
NCVXQP1,N=100000
BROYDN7D,N/2=5
BROYDN7D,N/2=25
BROYDN7D,N/2=50
BROYDN7D,N/2=250
BROYDN7D,N/2=500
BROYDN7D,N/2=2500
BROYDN7D,N/2=5000
LUKVLE6,N=99
LUKVLE6,N=999
LUKVLE6,N=9999
LUKVLE6,N=99999
GLIDER,NH=50
GLIDER,NH=100
GLIDER,NH=200
GLIDER,NH=400
LUKVLI5,N=100
LUKVLI5,N=1000
LUKVLI5,N=10000
LUKVLI5,N=100000
AUG2DQP,NX=3
AUG2DQP,NX=10
AUG2DQP,NX=40
AUG2DQP,NX=100
AUG2DQP,NX=200
AUG2DQP,NY=3
AUG2DQP,NY=10
AUG2DQP,NY=40
AUG2DQP,NY=100
AUG2DQP,NY=200
ALJAZZAF,N=3
ALJAZZAF,N=100
ALJAZZAF,N=1000
ALJAZZAF,N=10000
ALJAZZAF,N1=2
ALJAZZAF,N1=50
ALJAZZAF,N1=500
ALJAZZAF,N1=5000
QUARTC,N=25
QUARTC,N=100
QUARTC,N=500
QUARTC,N=1000
QUARTC,N=5000
QUARTC,N=10000
DIXMAANC,M=5
DIXMAANC,M=30
DIXMAANC,M=100
DIXMAANC,M=500
DIXMAANC,M=1000
DIXMAANC,M=3000
ARWHEAD,N=100
ARWHEAD,N=500
ARWHEAD,N=1000
ARWHEAD,N=5000
BRATU1D,N=11
BRATU1D,N=75
BRATU1D,N=101
BRATU1D,N=501
BRATU1D,N=1001
BRATU1D,N=5001
BRATU1D,LAMBDA=-3.4
PENTDI,N=50
PENTDI,N=100
PENTDI,N=500
PENTDI,N=1000
PENTDI,N=5000
PENTDI,N=10000
PENTDI,N=50000
BRATU2DT,P=7
BRATU2DT,P=10
BRATU2DT,P=22
BRATU2DT,P=32
BRATU2DT,P=72
BRATU2DT,LAMBDA=6.80812
SPMSQRT,M=10
SPMSQRT,M=34
SPMSQRT,M=167
SPMSQRT,M=334
SPMSQRT,M=1667
SPMSQRT,M=3334
DIXMAANB,M=5
DIXMAANB,M=30
DIXMAANB,M=100
DIXMAANB,M=500
DIXMAANB,M=1000
DIXMAANB,M=3000
SPECAN,K=1
SPECAN,K=2
SPECAN,K=3
SBRYBND,N=10
SBRYBND,N=50
SBRYBND,N=100
SBRYBND,N=500
SBRYBND,N=1000
SBRYBND,N=5000
CORKSCRW,T=10
CORKSCRW,T=50
CORKSCRW,T=100
CORKSCRW,T=500
CORKSCRW,T=1000
CORKSCRW,XT=10.0
CORKSCRW,MASS=0.37
CORKSCRW,TOL=0.1
HARKERP2,N=10
HARKERP2,N=100
HARKERP2,N=500
HARKERP2,N=1000
HARKERP2,N=5000
HARKERP2,N=10000
LUKVLI4,N=100
LUKVLI4,N=1000
LUKVLI4,N=10000
LUKVLI4,N=100000
LUKVLE7,N=100
LUKVLE7,N=1000
LUKVLE7,N=10000
LUKVLE7,N=100000
TORSION1,Q=2
TORSION1,Q=5
TORSION1,Q=11
TORSION1,Q=16
TORSION1,Q=37
TORSION1,Q=50
TORSION1,Q=61
TORSION1,C=5.0
TORSIONC,Q=2
TORSIONC,Q=5
TORSIONC,Q=11
TORSIONC,Q=16
TORSIONC,Q=37
TORSIONC,Q=50
TORSIONC,Q=61
TORSIONC,C=10.0
JIMACK,M=2
JIMACK,N=2
JIMACK,M=6
JIMACK,N=12
ROSEPETAL2,N=2
ROSEPETAL2,N=10
ROSEPETAL2,N=100
ROSEPETAL2,N=1000
ROSEPETAL2,N=10000
ROSEPETAL2,N=100000
ROSEPETAL2,R=1.0
ROSEPETAL2,R=2.0
TORSION5,Q=2
TORSION5,Q=5
TORSION5,Q=11
TORSION5,Q=16
TORSION5,Q=37
TORSION5,Q=50
TORSION5,Q=61
TORSION5,C=20.0
ELEC,NP=25
ELEC,NP=50
ELEC,NP=100
ELEC,NP=200
AUG2DC,NX=3
AUG2DC,NX=10
AUG2DC,NX=40
AUG2DC,NX=100
AUG2DC,NX=200
AUG2DC,NY=3
AUG2DC,NY=10
AUG2DC,NY=40
AUG2DC,NY=100
AUG2DC,NY=200
NCVXQP4,N=10
NCVXQP4,N=50
NCVXQP4,N=100
NCVXQP4,N=1000
NCVXQP4,N=10000
NCVXQP4,N=100000
BROYDN3DLS,N=10
BROYDN3DLS,N=50
BROYDN3DLS,N=100
BROYDN3DLS,N=500
BROYDN3DLS,N=1000
BROYDN3DLS,N=5000
BROYDN3DLS,N=10000
BROYDN3DLS,KAPPA1=2.0
BROYDN3DLS,KAPPA2=1.0
MINC44,N=2
MINC44,N=3
MINC44,N=4
MINC44,N=5
MINC44,N=6
MINC44,N=7
MINC44,N=8
MINC44,N=9
MINC44,N=10
LUKVLE3,N=100
LUKVLE3,N=1000
LUKVLE3,N=10000
LUKVLE3,N=100000
SENSORS,N=2
SENSORS,N=3
SENSORS,N=10
SENSORS,N=100
SENSORS,N=1000
METHANOL,NH=50
METHANOL,NH=100
METHANOL,NH=200
METHANOL,NH=400
METHANOL,NC=1
METHANOL,NC=2
METHANOL,NC=3
METHANOL,NC=4
METHANOL,RHO1=0.5
METHANOL,RHO1=0.7886751346
METHANOL,RHO1=0.5
METHANOL,RHO1=0.0694318442
METHANOL,RHO2=0.2113248654
METHANOL,RHO2=0.8872983346
METHANOL,RHO2=0.3300094782
METHANOL,RHO3=0.1127016654
METHANOL,RHO3=0.6699905218
METHANOL,RHO4=0.9305681558
QPNBAND,N=10000
QPNBAND,N=50000
QPNBAND,N=100000
QPNBAND,N=200000
QPNBAND,N=400000
QPNBAND,N=500000
OPTCDEG3,T=10
OPTCDEG3,T=40
OPTCDEG3,T=100
OPTCDEG3,T=400
OPTCDEG3,T=1500
OPTCDEG3,T=10000
OPTCDEG3,T=50000
BDEXP,N=100
BDEXP,N=500
BDEXP,N=1000
BDEXP,N=5000
CATENARY,N+1=4
CATENARY,N+1=10
CATENARY,N+1=32
CATENARY,N+1=166
CATENARY,N+1=1000
DIXMAANF,M=5
DIXMAANF,M=30
DIXMAANF,M=100
DIXMAANF,M=500
DIXMAANF,M=1000
DIXMAANF,M=3000
TQUARTIC,N=5
TQUARTIC,N=10
TQUARTIC,N=50
TQUARTIC,N=100
TQUARTIC,N=500
TQUARTIC,N=1000
TQUARTIC,N=5000
TQUARTIC,N=10000
HS110,N=10
HS110,N=50
HS110,N=100
HS110,N=200
EXPQUAD,N=12
EXPQUAD,M=6
EXPQUAD,N=120
EXPQUAD,M=10
EXPQUAD,N=1200
EXPQUAD,M=100
DIXMAANP,M=5
DIXMAANP,M=30
DIXMAANP,M=100
DIXMAANP,M=500
DIXMAANP,M=1000
DIXMAANP,M=3000
BDVALUE,NDP=12
BDVALUE,NDP=52
BDVALUE,NDP=102
BDVALUE,NDP=502
BDVALUE,NDP=1002
BDVALUE,NDP=5002
DIXMAANG,M=5
DIXMAANG,M=30
DIXMAANG,M=100
DIXMAANG,M=500
DIXMAANG,M=1000
DIXMAANG,M=3000
OPTCDEG2,T=10
OPTCDEG2,T=40
OPTCDEG2,T=100
OPTCDEG2,T=400
OPTCDEG2,T=1500
OPTCDEG2,T=10000
OPTCDEG2,T=50000
DRCAV1LQ,M=10
DRCAV1LQ,M=31
DRCAV1LQ,M=63
DRCAV1LQ,M=100
DRCAV1LQ,RE=500.0
LUKVLI1,N=100
LUKVLI1,N=1000
LUKVLI1,N=10000
LUKVLI1,N=100000
LUKVLE2,N=100
LUKVLE2,N=1000
LUKVLE2,N=10000
LUKVLE2,N=100000
AUG3D,NX=3
AUG3D,NX=10
AUG3D,NX=20
AUG3D,NX=30
AUG3D,NY=3
AUG3D,NY=10
AUG3D,NY=20
AUG3D,NY=30
AUG3D,NZ=3
AUG3D,NZ=10
AUG3D,NZ=20
AUG3D,NZ=30
NCVXQP5,N=10
NCVXQP5,N=50
NCVXQP5,N=100
NCVXQP5,N=1000
NCVXQP5,N=10000
NCVXQP5,N=100000
BIGGSB1,N=25
BIGGSB1,N=100
BIGGSB1,N=1000
BIGGSB1,N=5000
BIGGSB1,N=10000
BIGGSB1,N=20000
TORSION4,Q=2
TORSION4,Q=5
TORSION4,Q=11
TORSION4,Q=16
TORSION4,Q=37
TORSION4,Q=50
TORSION4,Q=61
TORSION4,C=10.0
POWELLSE,N=4
POWELLSE,N=8
POWELLSE,N=16
POWELLSE,N=20
POWELLSE,N=36
POWELLSE,N=40
POWELLSE,N=60
POWELLSE,N=80
POWELLSE,N=100
POWELLSE,N=500
POWELLSE,N=1000
POWELLSE,N=5000
POWELLSE,N=10000
POWELLSE,N=50000
TORSIONB,Q=2
TORSIONB,Q=5
TORSIONB,Q=11
TORSIONB,Q=16
TORSIONB,Q=37
TORSIONB,Q=50
TORSIONB,Q=61
TORSIONB,C=5.0
LINVERSE,N=10
LINVERSE,N=100
LINVERSE,N=500
LINVERSE,N=1000
TORSION6,Q=2
TORSION6,Q=5
TORSION6,Q=11
TORSION6,Q=16
TORSION6,Q=37
TORSION6,Q=50
TORSION6,Q=61
TORSION6,C=20.0
POWELLSG,N=4
POWELLSG,N=8
POWELLSG,N=16
POWELLSG,N=20
POWELLSG,N=36
POWELLSG,N=40
POWELLSG,N=60
POWELLSG,N=80
POWELLSG,N=100
POWELLSG,N=500
POWELLSG,N=1000
POWELLSG,N=5000
POWELLSG,N=10000
ORBIT2,M=3
ORBIT2,M=10
ORBIT2,M=30
ORBIT2,M=300
NCVXQP7,N=10
NCVXQP7,N=50
NCVXQP7,N=100
NCVXQP7,N=1000
NCVXQP7,N=10000
NCVXQP7,N=100000
DRCAV3LQ,M=10
DRCAV3LQ,M=31
DRCAV3LQ,M=63
DRCAV3LQ,M=100
DRCAV3LQ,RE=4500.0
ZAMB2,NY=10
ZAMB2,NY=20
ZAMB2,NY=30
ZAMB2,YEAR=1931
ZAMB2,YEAR=1941
ZAMB2,YEAR=1951
LUKVLI3,N=100
LUKVLI3,N=1000
LUKVLI3,N=10000
LUKVLI3,N=100000
SSCOSINE,N=10
SSCOSINE,N=100
SSCOSINE,N=1000
SSCOSINE,N=5000
SSCOSINE,N=10000
SSCOSINE,N=100000
SSCOSINE,N=1000000
DIXMAANE,M=5
DIXMAANE,M=30
DIXMAANE,M=100
DIXMAANE,M=500
DIXMAANE,M=1000
DIXMAANE,M=3000
QR3DLS,M=5
QR3DLS,M=10
QR3DLS,M=20
FLETBV3M,N=10
FLETBV3M,N=100
FLETBV3M,N=1000
FLETBV3M,N=5000
FLETBV3M,N=10000
FLETBV3M,KAPPA=1.0
FLETBV3M,KAPPA=0.0
LISWET8,N=100
LISWET8,K=3
LISWET8,N=100
LISWET8,K=4
LISWET8,N=100
LISWET8,K=5
LISWET8,N=100
LISWET8,K=6
LISWET8,N=400
LISWET8,K=2
LISWET8,N=400
LISWET8,K=3
LISWET8,N=2000
LISWET8,K=1
LISWET8,N=2000
LISWET8,K=2
LISWET8,N=10000
LISWET8,K=1
LISWET8,N=10000
LISWET8,K=2
CHANDHEU,N=10
CHANDHEU,N=50
CHANDHEU,N=100
CHANDHEU,N=500
CHANDHEU,C=1.0
OSCIGRAD,N=2
OSCIGRAD,N=5
OSCIGRAD,N=10
OSCIGRAD,N=15
OSCIGRAD,N=25
OSCIGRAD,N=100
OSCIGRAD,N=1000
OSCIGRAD,N=10000
OSCIGRAD,N=100000
OSCIGRAD,RHO=1.0
OSCIGRAD,RHO=500.0
SSNLBEAM,NI=10
SSNLBEAM,NI=50
SSNLBEAM,NI=100
SSNLBEAM,NI=500
SSNLBEAM,NI=1000
SSNLBEAM,NI=5000
SSNLBEAM,ALPHA=350.0
LISWET9,N=100
LISWET9,N=400
LISWET9,N=2000
LISWET9,N=10000
LISWET9,K=1
LISWET9,K=2
LISWET9,K=3
LISWET9,K=4
LISWET9,K=5
LISWET9,K=6
ARGTRIGLS,N=10
ARGTRIGLS,N=50
ARGTRIGLS,N=100
ARGTRIGLS,N=200
DIXMAAND,M=5
DIXMAAND,M=30
DIXMAAND,M=100
DIXMAAND,M=500
DIXMAAND,M=1000
DIXMAAND,M=3000
SREADIN3,N=2
SREADIN3,N=5
SREADIN3,N=50
SREADIN3,N=100
SREADIN3,N=500
SREADIN3,N=1000
SREADIN3,N=2000
SREADIN3,N=5000
LUKVLI2,N=100
LUKVLI2,N=1000
LUKVLI2,N=10000
LUKVLI2,N=100000
CAR2,M=30
CAR2,M=300
CAR2,M=1000
CAR2,COEFRI=1.0
FMINSURF,P=4
FMINSURF,P=7
FMINSURF,P=8
FMINSURF,P=11
FMINSURF,P=31
FMINSURF,P=32
FMINSURF,P=75
FMINSURF,P=100
FMINSURF,P=125
LUKVLE1,N=100
LUKVLE1,N=1000
LUKVLE1,N=10000
LUKVLE1,N=100000
GPP,N=250
GPP,N=500
GPP,N=750
GPP,N=1000
GPP,N=1250
GPP,N=1750
GPP,N=2000
DEGENQP,N=10
DEGENQP,N=20
DEGENQP,N=50
DEGENQP,N=100
NUFFIELD,A=5.0
NUFFIELD,N=10
NUFFIELD,N=20
NUFFIELD,N=30
NUFFIELD,N=40
NUFFIELD,N=100
NCVXQP6,N=10
NCVXQP6,N=50
NCVXQP6,N=100
NCVXQP6,N=1000
NCVXQP6,N=10000
NCVXQP6,N=100000
TORSIONA,Q=2
TORSIONA,Q=5
TORSIONA,Q=11
TORSIONA,Q=16
TORSIONA,Q=37
TORSIONA,Q=50
TORSIONA,Q=61
TORSIONA,C=5.0
JANNSON3,N=3
JANNSON3,N=10000
HUES-MOD,K=10
HUES-MOD,K=100
HUES-MOD,K=1000
HUES-MOD,K=5000
HUES-MOD,K=10000
READING4,N=2
READING4,N=50
READING4,N=100
READING4,N=500
READING4,N=1000
READING4,N=5000
EIGMAXA,N=2
EIGMAXA,N=10
EIGMAXA,N=100
OBSTCLAE,PX=4
OBSTCLAE,PY=4
OBSTCLAE,PX=10
OBSTCLAE,PY=10
OBSTCLAE,PX=23
OBSTCLAE,PY=23
OBSTCLAE,PX=32
OBSTCLAE,PY=32
OBSTCLAE,PX=75
OBSTCLAE,PY=75
OBSTCLAE,PX=100
OBSTCLAE,PY=100
OBSTCLAE,PX=125
OBSTCLAE,PY=125
OBSTCLAE,C=1.0
EIGENB2,N=2
EIGENB2,N=10
EIGENB2,N=50
EIGENB2,N=100
QR3D,M=5
QR3D,M=10
QR3D,M=20
MADSSCHJ,N=4
MADSSCHJ,N=10
MADSSCHJ,N=20
MADSSCHJ,N=30
MADSSCHJ,N=40
MADSSCHJ,N=50
MADSSCHJ,N=60
MADSSCHJ,N=70
MADSSCHJ,N=80
MADSSCHJ,N=90
MADSSCHJ,N=100
MADSSCHJ,N=200
GAUSSELM,N=11
GAUSSELM,N=12
GAUSSELM,N=13
GAUSSELM,N=14
GAUSSELM,N=15
GAUSSELM,N=16
GAUSSELM,N=20
GAUSSELM,N=25
GAUSSELM,N=30
GAUSSELM,N=35
GAUSSELM,N=40
GAUSSELM,N=45
GAUSSELM,N=50
RDW2D52B,N=2
RDW2D52B,N=4
RDW2D52B,N=8
RDW2D52B,N=16
RDW2D52B,N=32
RDW2D52B,N=64
RDW2D52B,N=128
RDW2D52B,N=256
RDW2D52B,N=512
RDW2D52B,N=1024
RDW2D52B,N=2048
RDW2D52B,N=4096
RDW2D52B,N=8192
RDW2D52B,N=16384
RDW2D52B,BETA=0.005
INDEFM,N=10
INDEFM,N=50
INDEFM,N=100
INDEFM,N=1000
INDEFM,N=5000
INDEFM,N=10000
INDEFM,N=100000
INDEFM,ALPHA=0.5
INDEFM,ALPHA=1.0
INDEFM,ALPHA=10.0
INDEFM,ALPHA=100.0
INDEFM,ALPHA=1000.0
SSC,NX=2
SSC,NY=2
SSC,NX=10
SSC,NY=10
SSC,NX=31
SSC,NY=32
SSC,NX=70
SSC,NY=70
SSC,NX=100
SSC,NY=100
SSC,NX=200
SSC,NY=200
SSC,LAMBDA=2.0
RDW2D52U,N=2
RDW2D52U,N=4
RDW2D52U,N=8
RDW2D52U,N=16
RDW2D52U,N=32
RDW2D52U,N=64
RDW2D52U,N=128
RDW2D52U,N=256
RDW2D52U,N=512
RDW2D52U,N=1024
RDW2D52U,N=2048
RDW2D52U,N=4096
RDW2D52U,N=8192
RDW2D52U,N=16384
RDW2D52U,BETA=0.005
LUKVLE10,N=100
LUKVLE10,N=1000
LUKVLE10,N=10000
LUKVLE10,N=100000
QPBAND,N=10000
QPBAND,N=50000
QPBAND,N=100000
QPBAND,N=200000
QPBAND,N=400000
QPBAND,N=500000
LUKVLE11,N=98
LUKVLE11,N=998
LUKVLE11,N=9998
LUKVLE11,N=99998
SROSENBR,N/2=5
SROSENBR,N/2=25
SROSENBR,N/2=50
SROSENBR,N/2=250
SROSENBR,N/2=500
SROSENBR,N/2=2500
SROSENBR,N/2=5000
PDE1,N=3
PDE1,N=299
PDE1,N=2999
PDE1,N=2099
MSQRTA,P=2
MSQRTA,P=7
MSQRTA,P=10
MSQRTA,P=23
MSQRTA,P=32
MSQRTA,P=70
STCQP1,P=2
STCQP1,P=4
STCQP1,P=6
STCQP1,P=8
STCQP1,P=10
STCQP1,P=12
STCQP1,P=13
STCQP1,P=14
STCQP1,P=15
STCQP1,P=16
MOSARQP1,N=36
MOSARQP1,M=10
MOSARQP1,COND=2.0
MOSARQP1,N=100
MOSARQP1,M=10
MOSARQP1,COND=3.0
MOSARQP1,N=900
MOSARQP1,M=30
MOSARQP1,COND=1.0
MOSARQP1,N=900
MOSARQP1,M=30
MOSARQP1,COND=2.0
MOSARQP1,N=900
MOSARQP1,M=30
MOSARQP1,COND=3.0
MOSARQP1,N=900
MOSARQP1,M=60
MOSARQP1,COND=1.0
MOSARQP1,N=900
MOSARQP1,M=60
MOSARQP1,COND=2.0
MOSARQP1,N=900
MOSARQP1,M=60
MOSARQP1,COND=3.0
MOSARQP1,N=900
MOSARQP1,M=90
MOSARQP1,COND=1.0
MOSARQP1,N=900
MOSARQP1,M=90
MOSARQP1,COND=2.0
MOSARQP1,N=900
MOSARQP1,M=90
MOSARQP1,COND=3.0
MOSARQP1,N=900
MOSARQP1,M=120
MOSARQP1,COND=1.0
MOSARQP1,N=900
MOSARQP1,M=120
MOSARQP1,COND=2.0
MOSARQP1,N=900
MOSARQP1,M=120
MOSARQP1,COND=3.0
MOSARQP1,N=900
MOSARQP1,M=300
MOSARQP1,COND=1.0
MOSARQP1,N=900
MOSARQP1,M=300
MOSARQP1,COND=2.0
MOSARQP1,N=900
MOSARQP1,M=300
MOSARQP1,COND=3.0
MOSARQP1,N=900
MOSARQP1,M=600
MOSARQP1,COND=1.0
MOSARQP1,N=900
MOSARQP1,M=600
MOSARQP1,COND=2.0
MOSARQP1,N=900
MOSARQP1,M=600
MOSARQP1,COND=3.0
MOSARQP1,N=2500
MOSARQP1,M=700
MOSARQP1,COND=1.0
MOSARQP1,N=2500
MOSARQP1,M=700
MOSARQP1,COND=2.0
MOSARQP1,N=2500
MOSARQP1,M=700
MOSARQP1,COND=3.0
READING5,N=2
READING5,N=50
READING5,N=100
READING5,N=500
READING5,N=1000
READING5,N=5000
VARDIM,N=10
VARDIM,N=50
VARDIM,N=100
VARDIM,N=200
EXPLIN2,N=12
EXPLIN2,M=6
EXPLIN2,N=120
EXPLIN2,M=10
EXPLIN2,N=1200
EXPLIN2,M=100
SPMSRTLS,M=10
SPMSRTLS,M=34
SPMSRTLS,M=167
SPMSRTLS,M=334
SPMSRTLS,M=1667
SPMSRTLS,M=3334
EIGMAXB,N=2
EIGMAXB,N=10
EIGMAXB,N=100
CHEBYQAD,N=2
CHEBYQAD,N=4
CHEBYQAD,N=5
CHEBYQAD,N=6
CHEBYQAD,N=7
CHEBYQAD,N=8
CHEBYQAD,N=9
CHEBYQAD,N=10
CHEBYQAD,N=20
CHEBYQAD,N=50
CHEBYQAD,N=100
FLOSP2TM,M=1
FLOSP2TM,M=2
FLOSP2TM,M=5
FLOSP2TM,M=8
FLOSP2TM,M=10
FLOSP2TM,M=15
FLOSP2TM,RA=1.0D+5
VANDANIUMS,KNOTS=20
POLYGON,NV=25
POLYGON,NV=50
POLYGON,NV=75
POLYGON,NV=100
TESTQUAD,N=1000
TESTQUAD,N=5000
LMINSURF,P=4
LMINSURF,P=7
LMINSURF,P=8
LMINSURF,P=11
LMINSURF,P=31
LMINSURF,P=32
LMINSURF,P=75
LMINSURF,P=100
LMINSURF,P=125
LUKVLE13,N=98
LUKVLE13,N=998
LUKVLE13,N=9998
LUKVLE13,N=99998
CHNROSNB,N=10
CHNROSNB,N=25
CHNROSNB,N=50
LUKVLE12,N=97
LUKVLE12,N=997
LUKVLE12,N=9997
LUKVLE12,N=99997
SCURLY20,N=10
SCURLY20,N=100
SCURLY20,N=1000
SCURLY20,N=10000
SCURLY20,N=100000
SCURLY20,N=1000000
PDE2,N=3
PDE2,N=299
PDE2,N=2999
PDE2,N=2099
PDE2,N=1299
MSQRTB,P=3
MSQRTB,P=7
MSQRTB,P=10
MSQRTB,P=23
MSQRTB,P=32
MSQRTB,P=70
MOSARQP2,N=36
MOSARQP2,M=10
MOSARQP2,COND=2.0
MOSARQP2,N=100
MOSARQP2,M=10
MOSARQP2,COND=3.0
MOSARQP2,N=900
MOSARQP2,M=30
MOSARQP2,COND=1.0
MOSARQP2,N=900
MOSARQP2,M=30
MOSARQP2,COND=2.0
MOSARQP2,N=900
MOSARQP2,M=30
MOSARQP2,COND=3.0
MOSARQP2,N=900
MOSARQP2,M=60
MOSARQP2,COND=1.0
MOSARQP2,N=900
MOSARQP2,M=60
MOSARQP2,COND=2.0
MOSARQP2,N=900
MOSARQP2,M=60
MOSARQP2,COND=3.0
MOSARQP2,N=900
MOSARQP2,M=90
MOSARQP2,COND=1.0
MOSARQP2,N=900
MOSARQP2,M=90
MOSARQP2,COND=2.0
MOSARQP2,N=900
MOSARQP2,M=90
MOSARQP2,COND=3.0
MOSARQP2,N=900
MOSARQP2,M=120
MOSARQP2,COND=1.0
MOSARQP2,N=900
MOSARQP2,M=120
MOSARQP2,COND=2.0
MOSARQP2,N=900
MOSARQP2,M=120
MOSARQP2,COND=3.0
MOSARQP2,N=900
MOSARQP2,M=300
MOSARQP2,COND=1.0
MOSARQP2,N=900
MOSARQP2,M=300
MOSARQP2,COND=2.0
MOSARQP2,N=900
MOSARQP2,M=300
MOSARQP2,COND=3.0
MOSARQP2,N=900
MOSARQP2,M=600
MOSARQP2,COND=1.0
MOSARQP2,N=900
MOSARQP2,M=600
MOSARQP2,COND=2.0
MOSARQP2,N=900
MOSARQP2,M=600
MOSARQP2,COND=3.0
MOSARQP2,N=2500
